allbus_p,allbus_forecast_p
4642.012939,4781.273327
4875.385525,4972.893236
4907.938455,4907.938455
4942.271546,4892.848831
4983.194962,4833.699113
4775.538902,4775.538902
4666.94884,4620.279352
4671.890696,4625.171789
4795.411104,4747.456993
5037.146311,5137.889237
5273.461413,5273.461413
5345.954815,5452.873911
5724.305081,5781.548132
6250.594563,6188.088617
6751.964232,6954.523159
7308.599217,7235.513225
8240.913907,8076.095629
9408.096255,9408.096255
10248.56556,10146.0799
10865.4142,11191.37663
11346.21339,11005.82699
11510.35661,11625.46018
11635.11798,11751.46916
11619.69096,11271.10023
11525.83164,11525.83164
11402.52159,11630.57202
11250.40426,11250.40426
11118.29468,10895.92879
11093.75621,11093.75621
10757.34264,10972.48949
10603.74841,10497.71093
10563.00802,10457.37794
10292.84817,10498.70513
10162.50812,10162.50812
9918.745871,9819.558412
9699.640737,9990.629959
9758.369627,9660.785931
10079.83228,10079.83228
10515.45021,10725.75921
10917.77747,10808.5997
11094.66195,10761.82209
11248.40644,11135.92238
11244.81915,11357.26734
11037.47951,10927.10471
10805.0367,10805.0367
10718.26526,10932.63057
10870.49535,10979.2003
11141.62263,11141.62263
11435.64952,11664.36251
11567.37583,11336.02831
11652.55276,11302.97618
11851.86874,11970.38743
12002.06796,11642.00592
12179.38116,12179.38116
12212.76741,12334.89508
12187.72794,12187.72794
12366.84677,12366.84677
12511.17592,12636.28768
12502.17677,12752.22031
11153.35492,10930.28782
11965.36971,12324.3308
12406.07441,12033.89218
12760.15567,12504.95256
11958.9719,11839.38218
11573.84593,11573.84593
12185.88745,12064.02858
12412.16728,12163.92393
11875.56637,11875.56637
12079.26158,12079.26158
12210.34949,11844.03901
12216.84306,12583.34835
12221.75169,12099.53417
11976.78138,12216.31701
10833.35124,10941.68475
11291.3273,11178.41403
11151.21641,11262.72857
11900.89649,11781.88753
11605.9911,11605.9911
11106.91397,10995.84483
11677.64461,11794.42106
11578.47948,11694.26427
11179.6901,11403.2839
11384.25378,11611.93886
11384.25378,11156.5687
11473.78816,11473.78816
10896.17356,10678.25009
10853.94473,10528.32639
11378.78042,11720.14383
11516.46416,11746.79344
12287.76862,12656.40168
12189.77913,12555.4725
12764.351,12891.99451
12653.793,12906.86886
12697.77777,13078.7111
12857.53023,12471.80432
12809.78419,12425.49066
12974.29712,13104.04009
12257.33198,11889.61202
12284.43834,12038.74957
12354.82124,12354.82124
11933.55204,11575.54548
12354.48293,12725.11742
12265.92129,12633.89893
12554.62186,12177.9832
13049.96302,13441.46191
12593.72683,12341.85229
12509.73994,12134.44774
12510.51533,12760.72564
12587.46865,12335.71928
12778.80254,13034.37859
12700.95861,12954.97778
12449.33613,12449.33613
12409.78059,12037.48717
12385.66642,12633.37975
12335.30856,12582.01473
12355.96092,12726.63975
12355.96092,12232.40131
12242.13056,12242.13056
11218.20551,11442.56962
11872.78002,11991.50782
11933.4061,11814.07204
11984.28012,11744.59452
11573.77675,11920.99005
11354.87599,11581.97351
11388.15734,11502.03891
11359.69124,11359.69124
11815.69619,11579.38227
11736.9306,11384.82268
11313.20114,11539.46516
11515.56111,11285.24989
11415.96401,11758.44293
11378.87302,11720.23921
11528.12105,11182.27742
11462.85298,11692.11004
11362.94707,11249.3176
11315.47596,10976.01168
11284.75554,11284.75554
11787.76692,11669.88925
11765.31383,11530.00755
11794.5512,11558.66018
11306.59727,11080.46532
11407.10609,11749.31927
11425.10391,11539.35495
11441.68191,11556.09873
11451.39866,11107.8567
11696.27531,11579.31256
12055.52333,12296.6338
12042.52357,11922.09833
12249.59126,12004.59943
12216.85711,12339.02568
12185.56193,12063.70631
12160.11592,12038.51476
12115.7641,11994.60646
12129.64344,11887.05057
12127.58178,12006.30596
12053.58856,11812.51679
12007.59557,12127.67153
11690.73718,11690.73718
11012.82028,11343.20489
11394.28833,11280.34545
11206.67659,11094.60982
10855.10896,11180.76223
10680.88894,10680.88894
10296.28804,10296.28804
10210.55452,10210.55452
10432.49343,10745.46823
10137.02,10339.7604
10379.32307,10379.32307
10444.28474,10548.72759
10592.80883,10804.66501
10559.56785,10242.78081
10620.86801,10727.07669
10683.3169,10683.3169
10792.5621,10468.78524
10974.8255,11194.32201
11107.95119,10996.87168
10969.48287,11188.87253
10973.20145,11082.93346
10908.73476,11126.90946
10814.50129,10922.6463
10871.98755,10871.98755
10943.00992,11161.87012
10897.53675,11224.46285
11121.57993,11232.79573
11191.01522,11191.01522
11189.012,11300.90212
11165.20185,10941.89781
10996.01155,10996.01155
10675.92269,10782.68192
10475.70223,10161.43116
10403.73131,10507.76862
10179.5348,10281.33015
9896.360274,9896.360274
9576.516678,9289.221178
9144.880173,9327.777776
8810.774776,9075.098019
8462.699246,8208.818269
8314.702383,8397.849407
8314.702383,8480.996431
7713.011055,7790.141166
7654.293821,7424.665006
7454.449384,7454.449384
7157.088361,7085.517477
6685.892744,6886.469526
6524.730548,6589.977853
