1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
60935.68724,61662.73946,62256.99533,61861.43467,62285.44436,61905.97116,61562.43038,61783.61363,60884.9018,61387.3976,61100.23778,61279.34962,61047.29656,60196.19575,60668.68608,60749.49492
60102.74886,60046.11652,60695.23195,60410.95731,61161.63231,61752.3722,61803.13066,62534.9471,63719.85803,65505.73098,66231.73615,66996.43705,68190.12788,69340.18974,69927.21808,70383.42612
70915.44889,71223.98851,71164.05469,71646.6267,72209.09227,72854.17358,73295.41581,72959.67838,73425.38879,72801.61978,72549.38332,72103.09287,70726.57577,70177.10256,68881.81455,67620.0735
66775.19058,68297.73233,69032.34534,69631.19896,69710.55531,70270.90054,71045.28372,70302.6868,70730.7787,71081.83159,70669.54436,70537.27638,70754.20625,71028.39433,72253.39885,71995.97942
71792.16739,72060.47208,73177.23169,72978.64769,71097.6452,70343.58694,69462.68733,69434.29963,69441.63979,69783.18542,70271.61907,69922.00902,70195.87841,70139.60733,68557.79391,68867.1654
67841.9026,68260.54692,67656.05373,67449.83052,66913.37925,66379.31909,65922.91767,65457.91754,64931.21303,65001.62116,65007.55298,65007.55298,62479.59943,61550.96718,60536.92356,60446.54729
59563.12934,60779.1094,60692.84473,59963.01411,59755.52114,59717.7575,58558.70963,58194.07072,58759.01259,58435.07555,58491.17763,57976.60629,57893.21717,58117.34928,57720.46079,57882.40535
57765.57935,57743.24397,57742.10343,57474.58239,57179.93638,57905.91234,58600.51118,58408.76336,59192.99976,60224.03871,60945.51974,61024.47119,60972.83099,60493.06681,61087.1983,59978.52947
57571.30093,56650.82312,57023.05922,57546.94189,57745.6325,57992.00461,57308.6142,57836.05841,57305.15156,57748.18385,57933.45178,57552.58392,56800.84996,56883.36373,55515.87452,55156.66829
54592.35953,55164.63311,54961.32817,55202.4022,55511.37975,56064.42016,55779.41503,55903.29625,55693.35816,56157.26327,56410.79656,56835.60373,57237.72984,58289.84031,58567.06852,58457.87942
60387.58063,61398.88643,62002.32911,61971.35393,61511.43715,61756.45128,62327.14316,62615.49018,62818.81018,63732.94003,64007.22043,64085.77825,64419.04673,64845.89103,64910.89175,64387.0265
64956.00902,65401.08344,64061.40332,63989.40694,64519.70165,64025.53091,63433.91573,61762.53792,61408.2757,61504.8791,59970.832,59061.3044,58491.94044,57884.92076,57566.65971,57274.78413
57565.5929,58385.88791,58440.17155,58601.69565,58347.02802,58276.88653,57519.5378,57371.25044,57101.92118,56794.52081,57225.52083,56609.6602,56842.00984,56859.06176,56392.5945,56818.68545
56253.32539,57059.2283,57408.5478,56837.31846,56891.00198,58171.61089,59256.21231,59402.48877,61905.85966,63992.78856,64487.00702,64978.4204,65080.53997,66330.17797,66798.50419,68286.06993
69219.93621,69041.70762,69388.65087,69041.70762,71931.27911,72945.70303,73519.19648,73379.12642,73722.73773,75098.56685,75295.44571,76039.6869,74994.10709,74829.88091,74447.01736,72225.27717
72039.56649,73647.00434,73585.88599,75379.75179,75622.25834,76531.47981,75550.63786,76364.36733,76551.68556,76605.07012,76505.18486,76019.04172,76194.15281,75798.26623,76684.01869,76888.34952
77785.39048,77330.44698,78200.65722,78006.20238,76808.22248,74916.24956,75051.24147,75454.86437,75026.74867,74970.13947,76072.39714,76524.94186,75814.22275,75977.77374,75200.14164,74599.48393
