1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1815.857249,1752.293474,1642.180768,1559.817087,1436.875276,1306.188094,1250.909819,1252.333314,1277.131993,1252.333314,1261.343727,1227.935013,1266.115249,1371.293596,1375.201881,1424.051262
1430.89003,1323.980009,1281.902218,1346.575184,1302.336296,1278.107211,1297.508846,1352.007588,1367.977735,1423.249563,1409.431606,1685.204191,1711.722861,1648.587395,1669.911701,1697.588269
1735.327148,1716.05799,1663.10286,1752.656805,1818.927099,1827.972922,1783.891738,1708.162665,1781.472172,1836.863179,1962.313533,1962.313533,1899.557241,1757.427916,1662.305931,1729.296438
1689.433351,1681.988723,1613.706224,1719.089247,1665.648877,1660.321246,1795.055271,1774.006097,1856.919833,1858.070957,1915.661104,1866.013334,1880.404925,1939.615281,2021.575722,1883.676567
1962.328926,2026.918442,2036.987797,1939.366229,1934.953403,1784.028421,1652.395,1623.705528,1654.466618,1738.554113,1702.0719,1775.204703,1793.454795,1830.433244,1962.887534,1926.770001
2079.917175,2057.865436,1993.682473,2042.515658,1950.85939,1812.21526,1811.560294,1798.834366,1752.1901,1639.382023,1639.087311,1535.710771,1417.442266,1337.065029,1251.070171,1132.337969
1112.243087,1130.800912,1069.396423,1099.678874,1017.651606,998.1122337,979.721368,929.757027,902.0701856,924.9640132,904.0270893,943.383377,921.0383583,907.2948502,928.5132628,988.1285083
1055.119153,1099.33861,1077.293006,1070.124452,1171.738262,1208.046138,1195.959824,1245.536782,1288.196623,1421.369719,1610.01231,1880.572411,2032.048491,2033.812115,2099.582603,2421.827622
2646.079146,2677.38768,3009.968028,3061.830191,3249.732896,3265.56415,3373.969049,3422.117026,3376.61185,3518.45614,3712.371636,3721.02446,3573.838678,3769.805673,3565.435721,3765.08201
3692.633136,3571.930662,3849.805291,3887.530321,3634.722254,3638.120579,3644.540948,3789.352609,3543.39089,3759.624693,3657.047856,3773.086224,3803.570903,4000.16989,3946.469379,4270.589362
4397.801175,4141.618583,4007.399024,4309.35954,4121.89702,4781.273327,4972.893236,4907.938455,4892.848831,4833.699113,4775.538902,4620.279352,4625.171789,4747.456993,5137.889237,5273.461413
5452.873911,5781.548132,6188.088617,6954.523159,7235.513225,8076.095629,9408.096255,10146.0799,11191.37663,11005.82699,11625.46018,11751.46916,11271.10023,11525.83164,11630.57202,11250.40426
10895.92879,11093.75621,10972.48949,10497.71093,10457.37794,10498.70513,10162.50812,9819.558412,9990.629959,9660.785931,10079.83228,10725.75921,10808.5997,10761.82209,11135.92238,11357.26734
