allbus_p,allbus_forecast_p
65193.3114,65193.3114
64627.42628,64627.42628
65149.61135,64823.86329
65298.60251,65298.60251
64739.4124,65063.10946
64641.66131,64641.66131
64121.40423,64442.01125
63458.59414,63458.59414
63265.98761,63265.98761
62714.66806,63028.2414
62701.6956,62388.18712
62356.23159,62044.45043
61852.58639,61852.58639
61750.73405,62059.48772
61450.36596,61143.11413
61559.8894,61867.68885
61124.46775,61124.46775
60960.14305,60960.14305
60943.49608,60943.49608
60745.30527,60745.30527
60846.06552,60541.83519
54646.93146,54373.6968
61353.22072,61659.98682
61903.61039,61594.09234
62701.00962,63014.51467
62972.8581,62972.8581
63403.8005,63720.8195
63331.25112,63331.25112
63109.24757,63109.24757
62636.68853,62323.50509
62768.06178,62454.22147
62100.32946,62410.83111
62445.85457,62133.6253
61282.36355,60975.95173
59013.6356,58718.56742
58761.31266,58467.5061
58320.0889,58611.68934
58055.11198,57764.83642
57830.27675,57830.27675
57341.99616,57341.99616
57124.70136,57410.32487
57095.52117,56810.04356
57706.52666,57995.05929
57437.99585,57437.99585
56985.5347,56985.5347
55969.65273,55689.80447
54655.76483,54382.48601
53452.62132,53719.88443
51988.53521,51728.59253
51897.32005,51897.32005
52800.00503,53064.00506
53051.51072,53051.51072
54031.6642,54031.6642
54578.83373,54851.7279
54944.60588,55219.32891
55413.85184,55413.85184
55898.66624,55619.17291
56293.1306,56293.1306
56593.62991,56593.62991
56912.51383,56627.95126
57256.48026,57256.48026
57931.88942,58221.54887
59128.43671,59424.07889
59704.15036,60002.67111
60577.19164,60577.19164
60805.29049,60501.26404
61774.19327,61465.3223
62683.78546,62370.36653
63125.73154,63125.73154
63053.33511,63368.60179
63150.11583,62834.36525
64101.29111,63780.78465
64504.53435,64182.01168
64869.24068,64544.89448
65573.89796,65573.89796
65809.03211,65479.98695
66972.76621,66972.76621
66755.3772,67089.15409
66876.34508,66876.34508
66600.83972,66600.83972
66433.09826,66433.09826
66495.02887,66162.55373
66743.66949,67077.38784
66801.66719,66801.66719
66557.8421,66557.8421
66386.65312,66054.71985
66486.35609,66818.78787
65817.38037,65488.29347
65817.38037,65817.38037
65043.41819,65368.63528
65164.58207,65490.40498
64834.97376,65159.14863
64203.46052,63882.44322
63005.66382,62690.6355
62519.93385,62832.53352
61854.65014,62163.92339
61070.23918,60764.88798
60929.3546,60929.3546
61978.38626,61978.38626
61947.61868,61637.88059
61618.86783,61310.77349
61385.38494,61078.45802
61293.96092,60987.49112
60949.67741,61254.4258
60590.81635,60287.86227
60590.81635,60590.81635
60590.81635,60590.81635
60177.4292,60478.31635
59879.73167,60179.13033
59589.03831,59589.03831
59401.86276,59104.85345
59440.98135,59738.18626
59406.23148,59406.23148
59177.437,59473.32419
59028.82919,59323.97334
59146.86567,59442.6
59587.99359,59587.99359
59669.95598,59669.95598
60034.36473,59734.19291
60874.94221,61179.31692
61963.91468,62273.73425
61963.91468,61963.91468
61963.91468,61963.91468
64932.01066,65256.67071
64597.90408,64920.8936
64298.75735,63977.26356
64169.80514,64490.65417
64057.21871,64377.5048
64334.20404,64012.53302
63090.96753,62775.51269
63364.94134,63364.94134
63533.13048,63850.79613
63564.57968,63882.40258
63930.69983,64250.35333
64424.30607,64746.4276
64086.79312,64407.22709
63836.56747,63836.56747
63652.08987,63970.35032
63725.25758,63406.63129
63347.87403,63664.6134
62391.62521,62079.66708
60833.02888,60833.02888
59856.30027,59856.30027
57468.73977,57756.08347
57080.40831,57080.40831
57325.84397,57039.21475
58058.72478,58058.72478
58300.89244,58009.38798
59129.904,58834.25448
60159.63921,59858.84101
60799.34888,60799.34888
61280.56267,60974.15986
61739.2393,62047.9355
62600.89432,62600.89432
63402.83022,63402.83022
64031.65007,63711.49182
64731.20776,65054.8638
65666.20622,65666.20622
66724.49183,67058.11429
67662.30769,67323.99615
67821.1091,67821.1091
68726.44945,68726.44945
70116.91876,70467.50335
70724.72925,71078.3529
70656.04873,71009.32897
70227.66005,70578.79835
70619.95837,70619.95837
70993.29653,70993.29653
71468.33183,71468.33183
72033.07945,72393.24485
72370.04339,72370.04339
72966.40621,72601.57418
73331.5783,73331.5783
73132.93575,73498.60043
73061.98416,73061.98416
72871.74895,73236.10769
72251.77586,72251.77586
71523.04505,71523.04505
71225.19145,70869.06549
70913.53654,70558.96886
70776.4535,70776.4535
70316.4568,70316.4568
70532.62337,70885.28649
69733.14976,70081.81551
69187.17129,69533.10715
69361.45157,69708.25883
68951.83168,68607.07252
68307.86682,68307.86682
67072.51747,67407.88006
66533.82842,66866.49756
65871.39634,65871.39634
64887.94174,64887.94174
64637.37435,64960.56122
65291.61451,65618.07258
65939.71151,65939.71151
65933.12877,65603.46313
65242.96545,65569.18028
65125.14277,65125.14277
64936.28271,64936.28271
64602.70956,64925.72311
64104.58499,63784.06207
63685.67736,63685.67736
63870.53723,63551.18454
62938.95892,63253.65371
62422.69548,62734.80896
54249.32289,53978.07628
62168.12246,62168.12246
61868.49056,61868.49056
61919.21066,62228.80671
61998.45941,61998.45941
62063.78417,62374.10309
62247.31952,61936.08292
62580.79724,62267.89325
63278.8008,63595.1948
64332.10772,64332.10772
64915.18542,64590.60949
66228.9358,66560.08048
67131.68966,67467.34811
67456.55464,67793.83741
67291.06014,67627.51544
67206.71766,66870.68407
67494.32881,67494.32881
67109.10547,67109.10547
67662.12146,67323.81085
67449.19889,67786.44488
66589.45846,66589.45846
66800.92675,66800.92675
66976.65568,67311.53896
67115.0448,66779.46958
67329.10241,67329.10241
66830.036,67164.18618
67046.05199,67046.05199
66660.35165,66660.35165
66299.14799,66299.14799
65897.89814,65897.89814
65043.41688,64718.1998
63359.69093,63676.48938
61759.90039,62068.69989
60789.40408,60789.40408
58126.85585,57836.22157
58305.78511,58014.25618
58305.78511,58305.78511
59342.67876,59045.96537
60052.51168,60352.77424
61367.86177,61674.70108
63179.67872,63179.67872
65237.07637,65563.26175
65806.11203,65806.11203
66715.19386,66381.61789
66898.79021,66898.79021
67425.37102,67088.24416
67749.98909,67411.23914
67984.24477,67984.24477
68854.6794,69198.9528
69720.18473,69371.58381
70178.7024,69827.80889
71060.2882,71060.2882
71646.62482,71646.62482
72059.74648,71699.44775
72640.56531,73003.76814
72839.91388,72839.91388
72195.97256,72195.97256
70723.40923,71077.02628
71046.5204,71401.753
71052.95986,70697.69506
71203.67562,71203.67562
71850.64896,72209.9022
72201.63126,72201.63126
72756.38511,73120.16704
72676.56052,72676.56052
72539.95588,72539.95588
72633.72168,72270.55307
72070.0275,71709.67736
71856.01588,71496.7358
71729.61735,71370.96926
71418.22376,71061.13264
71445.42643,71088.1993
71104.21073,70748.68968
70922.28,71276.8914
70301.53362,70653.04129
69403.26736,69403.26736
68806.93199,69150.96665
68662.94104,68662.94104
68231.89811,68573.0576
67768.10818,67429.26764
66892.04264,66892.04264
66156.7307,65825.94705
65827.04316,65497.90794
65015.66753,64690.58919
64476.54053,64476.54053
65757.60847,66086.39651
66200.77329,65869.76942
66163.10234,65832.28683
65910.12904,65580.57839
66028.78358,66358.9275
65843.63855,66172.85674
65339.66545,65666.36378
65321.36608,65321.36608
64831.81551,64831.81551
64632.87445,64309.71008
64539.16375,64861.85957
64416.58531,64094.50238
64237.20855,63916.02251
64250.98356,64572.23848
63881.69273,64201.10119
63846.32535,63846.32535
63641.42346,63323.21634
63642.23389,63960.44506
63826.62717,64145.76031
64028.07294,64028.07294
64724.49292,64724.49292
65258.24354,65584.53476
66546.39097,66546.39097
67537.9332,67537.9332
68221.79228,67880.68332
68431.70633,68089.5478
68314.21362,67972.64255
68004.44315,67664.42093
68300.48823,68300.48823
67967.56156,67967.56156
68971.98565,68971.98565
67747.89169,67747.89169
66522.37895,66189.76706
66802.00102,67136.01103
66350.35812,66682.10991
65589.57661,65917.52449
65035.44235,65360.61956
64696.8878,65020.37224
64466.14932,64466.14932
63582.82823,63582.82823
63367.53383,63050.69616
62992.93823,62677.97354
61938.13058,61628.43993
60477.4096,60477.4096
59312.43093,59608.99308
57702.01146,57702.01146
56441.19294,56158.98698
56167.11744,55886.28185
57069.13081,57354.47646
57433.00474,57433.00474
58844.85432,59139.07859
59130.71458,59426.36815
59881.01542,59881.01542
60252.6779,60252.6779
61223.50321,60917.38569
61583.65305,61275.73478
62171.31469,61860.45812
62540.46534,62540.46534
62986.86676,63301.80109
63748.49968,64067.24218
65106.15546,65106.15546
65810.9753,65481.92042
67033.25906,66698.09276
67802.8159,68141.82998
69195.2035,68849.22748
69702.93791,69354.42322
70028.80885,70028.80885
69425.63127,69425.63127
68793.93758,68449.96789
69224.64169,69224.64169
69549.8832,69202.13378
70024.3989,70024.3989
70417.55292,70417.55292
70564.81477,70564.81477
71502.14693,71859.65766
71227.04825,70870.91301
71282.75842,71282.75842
70622.03282,70622.03282
70427.81147,70427.81147
69576.57237,69924.45523
69496.73481,69496.73481
69540.06251,69887.76282
69315.03751,69661.6127
69005.95135,69350.98111
69213.1855,69559.25143
68724.29455,68724.29455
67436.64422,67436.64422
67385.4493,67385.4493
67134.83457,67470.50874
66662.65341,66329.34014
65789.05408,65460.10881
64915.5341,64915.5341
64240.81769,64240.81769
63395.51357,63078.536
63384.02389,63700.94401
63323.802,63323.802
64804.01278,64804.01278
64172.19547,63851.33449
63974.55599,64294.42877
63697.22058,64015.70668
62767.34241,62767.34241
62727.99672,62727.99672
62258.40212,62569.69413
62140.1719,62450.87276
62261.00352,62572.30854
62054.40063,61744.12863
62051.43058,62361.68773
61863.87356,61554.55419
61642.06985,61950.2802
