1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Cluster
58145.68873,57836.83409,58086.20712,58490.84869,58484.48592,59407.231,60104.60448,60990.44191,62817.68825,63630.6385,64048.85449,64190.59275,64853.75116,65492.53338,66438.93925,66749.0682,2
60745.24107,61297.78748,61234.95879,59959.27198,60641.15133,60317.97101,59602.56951,59663.46359,59629.58063,59531.95022,59342.29388,58706.22475,58630.65928,58628.65399,58156.04055,58215.04798,2
50943.98125,51137.71299,51328.73108,51442.24652,51832.89613,52236.52758,52904.59076,53598.63782,52880.91407,52299.32084,51696.53943,50622.23746,50622.23746,48457.57785,47256.7367,46313.63877,2
62978.35486,63435.61326,63338.0502,62846.9801,62359.67625,62266.76396,61861.27023,61593.70408,61247.66382,61420.69456,60951.72922,61042.87546,61055.64796,60887.31321,61184.49046,60735.62152,2
55001.28596,55490.23221,55059.92355,54728.56737,54207.11817,53991.80355,53142.4694,52995.40883,52411.20167,52324.62613,51783.80711,51348.61458,51203.4469,51288.74773,51309.41576,51129.40132,2
60516.1827,59140.55901,58801.39817,58401.53089,58032.68129,57909.23663,57540.66778,56756.65047,56156.96749,56231.49118,55494.54407,54897.08582,53714.17926,53015.55166,51052.41488,50237.92708,2
61146.74808,61348.16656,61526.01153,61338.46649,61744.01441,62249.24783,62958.3603,63380.50229,64273.42441,64918.50542,64812.29784,64653.89782,64165.09097,63925.08968,63600.10543,63485.2618,2
60687.78599,60621.36841,60860.94446,60846.59986,60696.82674,61067.32162,60762.9493,60459.73476,59459.34592,59452.52944,59195.13299,58480.65977,57330.6763,56466.21849,56005.44597,55274.84004,2
54847.79412,56576.84783,57269.3773,58019.84378,58070.75774,57676.92878,58360.67543,59175.74394,59713.07451,60242.35221,60224.65868,60919.81271,61412.53449,61504.36577,61447.81298,60680.02201,2
56123.58955,56658.21871,57020.79781,58282.96212,58483.74435,59630.17582,59965.63569,60671.11167,61120.00182,61314.95923,61967.67887,62848.34832,63566.88486,64213.85091,64970.8073,66046.80376,2
